"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","should load configuration from .env file","Configuration Tests","Tue Nov 04 23:16:27 ICT 2025","passed","Tue Nov 04 23:16:27 ICT 2025","","","",""
"","1","should support text assertions","Fluent Assertions API","Tue Nov 04 23:16:28 ICT 2025","passed","Tue Nov 04 23:16:28 ICT 2025","","","",""
"","107","should demonstrate various assertion types","Example site","Tue Nov 04 23:16:28 ICT 2025","passed","Tue Nov 04 23:16:28 ICT 2025","","","",""
"","1","should demonstrate fluent assertions with mock element","Framework Tests","Tue Nov 04 23:16:30 ICT 2025","passed","Tue Nov 04 23:16:30 ICT 2025","","","",""
"","0","should support enabled/disabled assertions","Fluent Assertions API","Tue Nov 04 23:16:28 ICT 2025","passed","Tue Nov 04 23:16:28 ICT 2025","","","",""
"","1","should print current configuration","Configuration Tests","Tue Nov 04 23:16:27 ICT 2025","passed","Tue Nov 04 23:16:27 ICT 2025","","","",""
"","1","should support custom timeout","Fluent Assertions API","Tue Nov 04 23:16:30 ICT 2025","passed","Tue Nov 04 23:16:30 ICT 2025","","","",""
"","1","should support value assertions","Fluent Assertions API","Tue Nov 04 23:16:28 ICT 2025","passed","Tue Nov 04 23:16:28 ICT 2025","","","",""
"","0","should verify SanElement locator conversion","Framework Tests","Tue Nov 04 23:16:30 ICT 2025","passed","Tue Nov 04 23:16:30 ICT 2025","","","",""
"Test that verifies the Example Domain page loads correctly with proper title and links","887","should show example domain title","Example site","Tue Nov 04 23:16:27 ICT 2025","passed","Tue Nov 04 23:16:28 ICT 2025","","","",""
"","501","should verify fluent assertion helpers work","Framework Tests","Tue Nov 04 23:16:30 ICT 2025","passed","Tue Nov 04 23:16:30 ICT 2025","","","",""
"","1","should support attribute assertions","Fluent Assertions API","Tue Nov 04 23:16:28 ICT 2025","passed","Tue Nov 04 23:16:28 ICT 2025","","","",""
"","1504","should provide clear error messages","Fluent Assertions API","Tue Nov 04 23:16:28 ICT 2025","passed","Tue Nov 04 23:16:30 ICT 2025","","","",""
"","1","should support visibility assertions","Fluent Assertions API","Tue Nov 04 23:16:28 ICT 2025","passed","Tue Nov 04 23:16:28 ICT 2025","","","",""
"","0","should support CSS class assertions","Fluent Assertions API","Tue Nov 04 23:16:28 ICT 2025","passed","Tue Nov 04 23:16:28 ICT 2025","","","",""
